Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,ratings_norm
221,"Lloyd Havells 1.5 Ton 3 Star Window Ac (Copper Clean Air Filter, 2021 Model, GLW18B32WSEW, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/8194JrZb01L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Filter-GLW18B32WSEW/dp/B08V8FN59W/ref=sr_1_225?qid=1679134249&s=kitchen&sr=1-225,4.2,329.0,,,0.8400000000000001
215,"LG 1.5 Ton 3 Star Antibacterial Coating, Dust Filter, Dehumidifier Split System AC (Copper, Inverter, LS-Q18ENXA, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61Dq-mCshzL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Split-Copper-LS-Q18ENXA/dp/B088QJ97Z1/ref=sr_1_222?qid=1679134248&s=kitchen&sr=1-222,3.6,13.0,38790.0,55990.0,0.72
719,Air Choice Desktop Protable AC Cooler Fan For Indoor Use,appliances,Air Conditioners,https://m.media-amazon.com/images/I/71yqMTaaWTL._AC_UL320_.jpg,https://www.amazon.in/Air-Choice-Desktop-Protable-Cooler/dp/B09MS83NNG/ref=sr_1_726?qid=1679134274&s=kitchen&sr=1-726,2.5,296.0,,8592.0,0.5
127,"Blue Star 1.5 Ton 3 Star Inverter Wi-Fi Split AC (Copper, Convertible 4-in-1 Cooling Mode, 2022 Model, IA318VNUS, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/31PwZNpYSbL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Inverter-Convertible-IA318VNUS/dp/B09RFSMC58/ref=sr_1_131?qid=1679134244&s=kitchen&sr=1-131,3.0,3.0,38390.0,64000.0,0.6
526,"Blue Star 1 Ton 2 Star Fixed Speed Split AC (Copper, Anti Corrosive Gold Fins, Dry Mode, Eco Mode, Hidden Display, Self Di...",appliances,Air Conditioners,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51saKJ2crVL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Corrosive-Stabiliser-FA212YNU/dp/B0BQRNL6CW/ref=sr_1_533?qid=1679134265&s=kitchen&sr=1-533,4.0,398.0,29990.0,44250.0,0.8
706,"Mini Air Cooler, Portable Air Conditioner Fan, Personal Evaporative Air Conditioners, Sumer Desktop Cooling Fan Humidifier...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71-NXiNsesL._AC_UL320_.jpg,https://www.amazon.in/Portable-Conditioner-Evaporative-Conditioners-Humidifier/dp/B09XX5JVGX/ref=sr_1_710?qid=1679134274&s=kitchen&sr=1-710,3.4,50.0,,4398.0,0.6799999999999999
417,"Hitachi 2.0 Ton 2 Star Window AC (Copper,SUMMER RAV222HUD White)",appliances,Air Conditioners,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91ytEb4X1cL._AC_UL320_.jpg,https://www.amazon.in/Hitachi-Window-Copper-SUMMER-RAV222HUD/dp/B00LHO9V3K/ref=sr_1_421?qid=1679134259&s=kitchen&sr=1-421,2.8,15.0,,,0.5599999999999999
337,"Voltas 1.5 Ton 3 Star Split Inverter AC - White (183V XAZX, Copper Condenser)",appliances,Air Conditioners,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51G-zkH3f4L._AC_UL320_.jpg,https://www.amazon.in/Voltas-1-5-Star-Split-Inverter/dp/B09X5JLZP4/ref=sr_1_341?qid=1679134256&s=kitchen&sr=1-341,3.9,7.0,35490.0,58990.0,0.78
149,"Carrier 1.5 Ton 5 Star Hybridjet Inverter Split AC CAI18IN5R31W1 (Copper, INDUS CXI, 6-in-1 Flexicool with Anti-Viral Guar...",appliances,Air Conditioners,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51P0LbIFf1L._AC_UL320_.jpg,https://www.amazon.in/Carrier-Hybridjet-CAI18IN5R31W1-Flexicool-Anti-Viral/dp/B09YXR8FV9/ref=sr_1_153?qid=1679134245&s=kitchen&sr=1-153,4.6,3.0,45490.0,79890.0,0.9199999999999999
188,"LG 2.0 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, 4 Way Swing, HD Filter with Anti-Vi...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51hbo8yQ1EL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q24HNXE/dp/B09NS4BRK3/ref=sr_1_195?qid=1679134247&s=kitchen&sr=1-195,4.2,288.0,57900.0,85990.0,0.8400000000000001
